ftu_label,ct_iri,ct_iri_true_count
alveolus of lung,6,0
bronchus submucosal gland,6,0
chorionic terminal villus,6,6
cortical collecting duct,3,0
crypt of Lieberkuhn of large intestine,5,0
descending limb of loop of Henle,2,1
epidermal ridge of digit,5,3
hair follicle,5,4
inner medullary collecting duct,2,1
intercalated duct of pancreas,2,0
intestinal villus,15,1
islet of Langerhans,7,5
liver lobule,11,9
loop of Henle ascending limb thin segment,2,1
nephron,10,7
outer medullary collecting duct,3,2
pancreatic acinus,4,3
papillary layer of dermis,2,0
parotid gland,15,0
prostate glandular acinus,9,7
red pulp of spleen,10,5
renal corpuscle,9,4
sublingual gland,12,0
submandibular gland,14,0
thick ascending limb of loop of Henle,2,1
thymus lobule,13,8
white pulp of spleen,10,2
